Order_ID,Date,Cust_First,Cust_Last,Customer_Company,Sales_Rep,Product,Qty,Price,Line_Total,Order_Status
1,4/6/2026 11:47,James,Dalton,Alpha Group,Alexander,Green Tea,20,15.5,310,Closed
2,4/6/2026 12:47,James,Dalton,Alpha Group,Anne,Ravioli,18,15.5,279,New
3,4/6/2026 13:47,James,Dalton,Alpha Group,Laura,Bread,11,15.5,170.5,Shipped
4,4/6/2026 14:47,James,Dalton,Alpha Group,Robert,Green Tea,40,15.5,620,Closed
5,4/6/2026 15:47,James,Dalton,Alpha Group,Michael,Chef Anton Gumbo,10,15.5,155,Invoiced
6,4/6/2026 16:47,James,Dalton,Alpha Group,Steven,Shrimp,16,15.5,248,New
7,4/6/2026 17:47,James,Dalton,Alpha Group,Mariya,Chai,7,15.5,108.5,New
8,4/6/2026 18:47,James,Dalton,Alpha Group,Jan,Alice Mutton,43,15.5,666.5,Shipped
9,4/6/2026 19:47,James,Dalton,Alpha Group,Andrew,Shrimp,49,15.5,759.5,Closed
10,4/6/2026 20:47,James,Dalton,Alpha Group,Nancy,Coffee,21,15.5,325.5,New
11,4/6/2026 1:47,Anna,Smith,Beta Corp,Alexander,Tofu,29,15.5,449.5,Closed
12,4/6/2026 3:47,Anna,Smith,Beta Corp,Anne,Chai,48,15.5,744,Invoiced
13,4/6/2026 5:47,Anna,Smith,Beta Corp,Laura,Dried Fruit,15,15.5,232.5,Shipped
14,4/6/2026 7:47,Anna,Smith,Beta Corp,Robert,Aniseed Syrup,16,15.5,248,Invoiced
15,4/6/2026 9:47,Anna,Smith,Beta Corp,Michael,Apples,44,15.5,682,New
16,4/6/2026 11:47,Anna,Smith,Beta Corp,Steven,Tofu,33,15.5,511.5,Closed
17,4/6/2026 13:47,Anna,Smith,Beta Corp,Mariya,Aniseed Syrup,2,15.5,31,Shipped
18,4/6/2026 15:47,Anna,Smith,Beta Corp,Jan,Ravioli,32,15.5,496,Closed
19,4/6/2026 17:47,Anna,Smith,Beta Corp,Andrew,Alice Mutton,30,15.5,465,Closed
20,4/6/2026 19:47,Anna,Smith,Beta Corp,Nancy,Ravioli,10,15.5,155,New
21,4/5/2026 15:47,Bill,Jobson,Gamma Inc,Alexander,Chocolate,24,15.5,372,New
22,4/5/2026 18:47,Bill,Jobson,Gamma Inc,Anne,Apples,17,15.5,263.5,Shipped
23,4/5/2026 21:47,Bill,Jobson,Gamma Inc,Laura,Boston Crab Meat,42,15.5,651,New
24,4/6/2026 0:47,Bill,Jobson,Gamma Inc,Robert,Apples,23,15.5,356.5,Invoiced
25,4/6/2026 3:47,Bill,Jobson,Gamma Inc,Michael,Alice Mutton,44,15.5,682,Invoiced
26,4/6/2026 6:47,Bill,Jobson,Gamma Inc,Steven,Chocolate,39,15.5,604.5,Shipped
27,4/6/2026 9:47,Bill,Jobson,Gamma Inc,Mariya,Boston Crab Meat,19,15.5,294.5,Shipped
28,4/6/2026 12:47,Bill,Jobson,Gamma Inc,Jan,Chai,40,15.5,620,New
29,4/6/2026 15:47,Bill,Jobson,Gamma Inc,Andrew,Ravioli,24,15.5,372,Closed
30,4/6/2026 18:47,Bill,Jobson,Gamma Inc,Nancy,Coffee,4,15.5,62,Shipped
31,4/5/2026 5:47,Lee,Patterson,Delta Ltd,Alexander,Hot Sauce,4,15.5,62,Shipped
32,4/5/2026 9:47,Lee,Patterson,Delta Ltd,Anne,Chang,37,15.5,573.5,Closed
33,4/5/2026 13:47,Lee,Patterson,Delta Ltd,Laura,Chef Anton Gumbo,27,15.5,418.5,Closed
34,4/5/2026 17:47,Lee,Patterson,Delta Ltd,Robert,Chocolate,50,15.5,775,New
35,4/5/2026 21:47,Lee,Patterson,Delta Ltd,Michael,Chocolate,1,15.5,15.5,Invoiced
36,4/6/2026 1:47,Lee,Patterson,Delta Ltd,Steven,Chef Anton Gumbo,36,15.5,558,Closed
37,4/6/2026 5:47,Lee,Patterson,Delta Ltd,Mariya,Chai,10,15.5,155,Shipped
38,4/6/2026 9:47,Lee,Patterson,Delta Ltd,Jan,Shrimp,36,15.5,558,Closed
39,4/6/2026 13:47,Lee,Patterson,Delta Ltd,Andrew,Alice Mutton,41,15.5,635.5,New
40,4/6/2026 17:47,Lee,Patterson,Delta Ltd,Nancy,Alice Mutton,20,15.5,310,New
41,4/4/2026 19:47,Lucia,Vargas,Sigma Co,Alexander,Milk,43,15.5,666.5,Closed
42,4/5/2026 0:47,Lucia,Vargas,Sigma Co,Anne,Cheese,20,15.5,310,New
43,4/5/2026 5:47,Lucia,Vargas,Sigma Co,Laura,Coffee,32,15.5,496,Closed
44,4/5/2026 10:47,Lucia,Vargas,Sigma Co,Robert,Dried Fruit,29,15.5,449.5,Closed
45,4/5/2026 15:47,Lucia,Vargas,Sigma Co,Michael,Cheese,44,15.5,682,New
46,4/5/2026 20:47,Lucia,Vargas,Sigma Co,Steven,Ravioli,35,15.5,542.5,Invoiced
47,4/6/2026 1:47,Lucia,Vargas,Sigma Co,Mariya,Hot Sauce,22,15.5,341,Invoiced
48,4/6/2026 6:47,Lucia,Vargas,Sigma Co,Jan,Aniseed Syrup,33,15.5,511.5,Closed
49,4/6/2026 11:47,Lucia,Vargas,Sigma Co,Andrew,Boston Crab Meat,35,15.5,542.5,Shipped
50,4/6/2026 16:47,Lucia,Vargas,Sigma Co,Nancy,Chocolate,18,15.5,279,Shipped
51,4/4/2026 9:47,Wei,Zhu,Omega Tech,Alexander,Shrimp,49,15.5,759.5,Closed
52,4/4/2026 15:47,Wei,Zhu,Omega Tech,Anne,Boston Crab Meat,37,15.5,573.5,Invoiced
53,4/4/2026 21:47,Wei,Zhu,Omega Tech,Laura,Chef Anton Gumbo,17,15.5,263.5,Shipped
54,4/5/2026 3:47,Wei,Zhu,Omega Tech,Robert,Alice Mutton,33,15.5,511.5,Invoiced
55,4/5/2026 9:47,Wei,Zhu,Omega Tech,Michael,Chai,30,15.5,465,Shipped
56,4/5/2026 15:47,Wei,Zhu,Omega Tech,Steven,Chef Anton Gumbo,18,15.5,279,New
57,4/5/2026 21:47,Wei,Zhu,Omega Tech,Mariya,Bread,47,15.5,728.5,Closed
58,4/6/2026 3:47,Wei,Zhu,Omega Tech,Jan,Boston Crab Meat,43,15.5,666.5,Invoiced
59,4/6/2026 9:47,Wei,Zhu,Omega Tech,Andrew,Coffee,2,15.5,31,Closed
60,4/6/2026 15:47,Wei,Zhu,Omega Tech,Nancy,Chai,29,15.5,449.5,Invoiced
61,4/3/2026 23:47,Carlos,Gomez,Zeta Solutions,Alexander,Bread,23,15.5,356.5,Invoiced
62,4/4/2026 6:47,Carlos,Gomez,Zeta Solutions,Anne,Milk,7,15.5,108.5,Invoiced
63,4/4/2026 13:47,Carlos,Gomez,Zeta Solutions,Laura,Ravioli,45,15.5,697.5,Closed
64,4/4/2026 20:47,Carlos,Gomez,Zeta Solutions,Robert,Ravioli,29,15.5,449.5,Invoiced
65,4/5/2026 3:47,Carlos,Gomez,Zeta Solutions,Michael,Tofu,9,15.5,139.5,Shipped
66,4/5/2026 10:47,Carlos,Gomez,Zeta Solutions,Steven,Hot Sauce,12,15.5,186,Invoiced
67,4/5/2026 17:47,Carlos,Gomez,Zeta Solutions,Mariya,Aniseed Syrup,33,15.5,511.5,Shipped
68,4/6/2026 0:47,Carlos,Gomez,Zeta Solutions,Jan,Ravioli,33,15.5,511.5,Shipped
69,4/6/2026 7:47,Carlos,Gomez,Zeta Solutions,Andrew,Cheese,38,15.5,589,Shipped
70,4/6/2026 14:47,Carlos,Gomez,Zeta Solutions,Nancy,Chocolate,8,15.5,124,Shipped
71,4/3/2026 13:47,Erik,Olsen,Theta Retail,Alexander,Milk,37,15.5,573.5,Invoiced
72,4/3/2026 21:47,Erik,Olsen,Theta Retail,Anne,Bread,32,15.5,496,New
73,4/4/2026 5:47,Erik,Olsen,Theta Retail,Laura,Salmon,12,15.5,186,Shipped
74,4/4/2026 13:47,Erik,Olsen,Theta Retail,Robert,Bread,34,15.5,527,Shipped
75,4/4/2026 21:47,Erik,Olsen,Theta Retail,Michael,Green Tea,23,15.5,356.5,New
